RPM,Tq,Time
0,0,1659832632.4450758
0,0,1659832632.4510808
0,0,1659832632.4520752
0,0,1659832632.4620752
0,0,1659832632.4740758
0,0,1659832632.4840763
0,0,1659832632.4970772
0,0,1659832632.508076
0,0,1659832632.5230756
0,0,1659832632.5680757
0,0,1659832632.5990756
0,0,1659832632.6060762
0,0,1659832632.6080763
0,0,1659832632.6080763
0,0,1659832632.609076
0,0,1659832632.6100755
0,0,1659832632.6130764
0,0,1659832632.6180763
0,0,1659832632.630076
0,0,1659832632.6410758
0,0,1659832632.6520782
0,0,1659832632.6640759
0,0,1659832632.6740775
0,0,1659832632.6860764
0,0,1659832632.6990752
0,0,1659832632.7100775
0,0,1659832632.7200756
0,0,1659832632.7320752
0,0,1659832632.7420776
0,0,1659832632.7540772
0,0,1659832632.7650788
0,0,1659832632.7760773
0,0,1659832632.787075
0,0,1659832632.7990751
0,0,1659832632.8100743
0,0,1659832632.8210757
0,0,1659832632.8320777
0,0,1659832632.8430765
0,0,1659832632.855078
0,0,1659832632.865078
0,0,1659832632.87808
0,0,1659832632.8900752
0,0,1659832632.9000752
0,0,1659832632.9100752
0,0,1659832632.922076
0,0,1659832632.935076
0,0,1659832632.9440758
0,0,1659832632.955076
0,0,1659832632.9660769
0,0,1659832632.9780755
0,0,1659832632.9900773
0,0,1659832633.0000784
0,0,1659832633.0110757
0,0,1659832633.0210822
0,0,1659832633.0340765
0,0,1659832633.0450752
0,0,1659832633.056077
0,0,1659832633.073077
0,0,1659832633.083075
0,0,1659832633.0921257
0,0,1659832633.103112
0,0,1659832633.1121142
0,0,1659832633.1281118
0,0,1659832633.1351116
0,0,1659832633.146111
0,0,1659832633.1571126
0,0,1659832633.170111
0,0,1659832633.181113
0,0,1659832633.1921103
0,0,1659832633.2031116
0,0,1659832633.2151136
0,0,1659832633.2281113
0,0,1659832633.2391114
0,0,1659832633.249111
0,0,1659832633.2601104
0,0,1659832633.2711103
0,0,1659832633.2821615
0,0,1659832633.2931936
0,0,1659832633.3052373
0,0,1659832633.316893
0,0,1659832633.3288891
0,0,1659832633.3388886
0,0,1659832633.3508894
0,0,1659832633.362889
0,0,1659832633.37489
0,0,1659832633.3848886
0,0,1659832633.3958886
0,0,1659832633.4068902
0,0,1659832633.4198935
0,0,1659832633.4288895
0,0,1659832633.4758878
0,0,1659832633.4888878
1025,0,1659832633.5048885
1025,0,1659832633.5118892
1025,0,1659832633.5298889
1025,0,1659832633.5388908
1025,0,1659832633.5488904
1025,0,1659832633.5588987
1025,0,1659832633.5688908
1025,0,1659832633.5818887
1025,0,1659832633.5898895
1025,0,1659832633.6028907
1025,0,1659832633.6148887
1025,0,1659832633.625892
1025,0,1659832633.6378918
1025,0,1659832633.6488886
1025,0,1659832633.6578908
1025,0,1659832633.6688895
1025,0,1659832633.680891
1025,0,1659832633.6918917
1025,0,1659832633.7028913
1025,0,1659832633.7138896
1025,0,1659832633.7268887
1025,0,1659832633.735891
1025,0,1659832633.7558904
1025,0,1659832633.759889
1025,0,1659832633.7718902
1025,0,1659832633.7858903
1025,0,1659832633.7958894
1025,0,1659832633.8038902
1025,0,1659832633.8158894
1025,0,1659832633.8268914
1025,0,1659832633.8398895
1025,0,1659832633.8518903
1025,0,1659832633.8608906
1025,0,1659832633.8728888
1025,0,1659832633.8838918
1025,0,1659832633.895892
1025,0,1659832633.9058905
1025,0,1659832633.9198906
1025,0,1659832633.9368901
1025,0,1659832633.9388907
1025,0,1659832633.950891
1025,0,1659832633.9618893
1025,0,1659832633.97289
1025,0,1659832633.984889
1025,0,1659832633.9968908
1025,0,1659832634.0088885
1025,0,1659832634.0218894
1025,0,1659832634.0308897
1025,0,1659832634.0408907
1025,0,1659832634.0528886
1025,0,1659832634.0648904
1025,0,1659832634.0758913
1025,0,1659832634.0888896
1025,0,1659832634.0978892
1025,0,1659832634.1078894
1025,0,1659832634.11889
1025,0,1659832634.1318889
1025,0,1659832634.141891
1025,0,1659832634.1548898
1025,0,1659832634.163889
1025,0,1659832634.1758902
1025,0,1659832634.1868906
1025,0,1659832634.1988895
1025,0,1659832634.2098897
1025,0,1659832634.2208912
1025,0,1659832634.2318892
1025,0,1659832634.2438893
1025,0,1659832634.2548907
1025,0,1659832634.2658904
1025,0,1659832634.27689
1025,0,1659832634.2888892
1025,0,1659832634.2998896
1025,0,1659832634.3118904
1025,0,1659832634.32389
1025,0,1659832634.335889
1025,0,1659832634.3438892
1025,0,1659832634.3558888
1025,0,1659832634.365893
1025,0,1659832634.3778899
1025,0,1659832634.3888896
1025,0,1659832634.3998895
1025,0,1659832634.4108891
1025,0,1659832634.4218898
1025,0,1659832634.4348907
1025,0,1659832634.4448907
1025,0,1659832634.4558895
1025,0,1659832634.4658897
1025,0,1659832634.477892
1025,0,1659832634.4908907
1025,0,1659832634.501889
1025,0,1659832634.5128906
1025,0,1659832634.5208914
1025,0,1659832634.53189
1025,0,1659832634.5438972
1025,0,1659832634.5548913
1025,0,1659832634.5658894
1025,0,1659832634.5768917
1025,0,1659832634.5898995
1025,0,1659832634.6028898
1025,0,1659832634.6118915
1025,0,1659832634.6238892
1025,0,1659832634.6358893
1025,0,1659832634.64689
1025,0,1659832634.6578884
1025,0,1659832634.6718898
1025,0,1659832634.6818905
1025,0,1659832634.6948884
1025,0,1659832634.7058904
1025,0,1659832634.7148926
1025,0,1659832634.7268891
1025,0,1659832634.7378926
1025,0,1659832634.7488906
1025,0,1659832634.7608922
1025,0,1659832634.771889
1025,0,1659832634.7828894
1025,0,1659832634.7948895
1025,0,1659832634.80589
1025,0,1659832634.8168898
1025,0,1659832634.82889
1025,0,1659832634.8378885
1025,0,1659832634.84889
1025,0,1659832634.8618882
1025,0,1659832634.8728898
1025,0,1659832634.88089
1025,0,1659832634.890889
1025,0,1659832634.9018903
1025,0,1659832634.912889
1025,0,1659832634.9238899
1025,0,1659832634.9358907
1025,0,1659832634.945889
1025,0,1659832634.9578903
1025,0,1659832634.9708886
1025,0,1659832634.9798918
1025,0,1659832634.9908898
1025,0,1659832635.0008898
1025,0,1659832635.0108888
1025,0,1659832635.0228906
1025,0,1659832635.03389
1025,0,1659832635.043891
1025,0,1659832635.0548902
1025,0,1659832635.0658967
1025,0,1659832635.0758913
1025,0,1659832635.087889
1025,0,1659832635.09889
1025,0,1659832635.1108913
1025,0,1659832635.1218894
1025,0,1659832635.1328897
1025,0,1659832635.1428921
1025,0,1659832635.1558912
1025,0,1659832635.16589
1025,0,1659832635.1768904
1025,0,1659832635.1878898
1025,0,1659832635.1998904
1025,0,1659832635.2108917
1025,0,1659832635.22189
1025,0,1659832635.2328973
1025,0,1659832635.2458904
1025,0,1659832635.2558908
1025,0,1659832635.2668889
1025,0,1659832635.2778893
1025,0,1659832635.288889
1025,0,1659832635.2998903
1025,0,1659832635.3108888
1025,0,1659832635.3228917
1025,0,1659832635.3338914
1025,0,1659832635.34489
1025,0,1659832635.356891
1025,0,1659832635.3668897
1025,0,1659832635.3778882
1025,0,1659832635.3898885
1025,0,1659832635.4008906
1025,0,1659832635.4118981
1025,0,1659832635.4228926
1025,0,1659832635.434889
1025,0,1659832635.442896
1025,0,1659832635.4548895
1025,0,1659832635.4648893
1025,0,1659832635.4788928
1025,0,1659832635.49089
1025,0,1659832635.5018895
1025,0,1659832635.51189
1025,0,1659832635.5248902
1025,0,1659832635.5348897
1025,0,1659832635.5468924
1025,0,1659832635.557891
1025,0,1659832635.570889
1025,0,1659832635.5818923
1025,0,1659832635.5928912
1025,0,1659832635.606889
1025,0,1659832635.6158903
1025,0,1659832635.6268897
1025,0,1659832635.63789
1025,0,1659832635.6498928
1025,0,1659832635.661889
1025,0,1659832635.6728945
1025,0,1659832635.6838896
1025,0,1659832635.6948903
1025,0,1659832635.70589
1025,0,1659832635.716894
1025,0,1659832635.728891
1025,0,1659832635.7398927
1025,0,1659832635.75489
1025,0,1659832635.76289
1025,0,1659832635.77689
1025,0,1659832635.7858896
1025,0,1659832635.7978916
1025,0,1659832635.8098917
1025,0,1659832635.8228893
1025,0,1659832635.832889
1025,0,1659832635.842888
1025,0,1659832635.8538895
1025,0,1659832635.8648906
1025,0,1659832635.8748896
1025,0,1659832635.88689
1025,0,1659832635.8978927
1025,0,1659832635.9108896
1025,0,1659832635.9198897
1025,0,1659832635.93189
1025,0,1659832635.9438891
1025,0,1659832635.9528892
1025,0,1659832635.9638968
1025,0,1659832635.9758902
1025,0,1659832635.98889
1025,0,1659832635.9998899
1025,0,1659832636.011889
1025,0,1659832636.0228894
1025,0,1659832636.0348902
1025,0,1659832636.0468912
1025,0,1659832636.0598896
1025,0,1659832636.0698898
1025,0,1659832636.0808904
1025,0,1659832636.0938892
1025,0,1659832636.1058893
1025,0,1659832636.11689
1025,0,1659832636.126889
1025,0,1659832636.1408892
1025,0,1659832636.151892
1025,0,1659832636.16589
1025,0,1659832636.174891
1025,0,1659832636.183891
1025,0,1659832636.1968915
1025,0,1659832636.2098916
1025,0,1659832636.2228928
1025,0,1659832636.2318895
1025,0,1659832636.2418985
1025,0,1659832636.2548978
1025,0,1659832636.26589
1025,0,1659832636.27589
1025,0,1659832636.2858896
1025,0,1659832636.296889
1025,0,1659832636.30589
1025,0,1659832636.3198893
1025,0,1659832636.3308885
1025,0,1659832636.3398902
1025,0,1659832636.3518887
1025,0,1659832636.3628898
1025,0,1659832636.3738909
1025,0,1659832636.3848906
1025,0,1659832636.3958912
1025,0,1659832636.4068909
1025,0,1659832636.4198892
1025,0,1659832636.4318907
1025,0,1659832636.4428904
1025,0,1659832636.4538896
1027,6,1659832636.4668896
1044,41,1659832636.4948893
1086,92,1659832636.50589
1129,94,1659832636.5178885
1171,92,1659832636.5288906
1213,89,1659832636.5388892
1252,87,1659832636.5488923
1290,85,1659832636.5618913
1328,82,1659832636.5718894
1364,80,1659832636.5838902
1400,78,1659832636.5948894
1434,76,1659832636.605889
1463,75,1659832636.6158893
1492,73,1659832636.627889
1520,71,1659832636.63889
1547,72,1659832636.648889
1576,73,1659832636.6608899
1606,76,1659832636.6738904
1638,80,1659832636.68189
1671,83,1659832636.6958892
1706,89,1659832636.7068906
1743,93,1659832636.7178903
1780,95,1659832636.7288907
1819,97,1659832636.7388911
1858,99,1659832636.7508903
1898,102,1659832636.760894
1939,103,1659832636.7738898
1980,105,1659832636.784889
2023,109,1659832636.795889
2067,112,1659832636.8068902
2111,114,1659832636.8158894
2155,114,1659832636.8288913
2200,113,1659832636.84889
2245,113,1659832636.8508897
2287,112,1659832636.8628893
2323,110,1659832636.87689
2351,109,1659832636.885889
2372,108,1659832636.8968897
2384,109,1659832636.907889
2390,112,1659832636.9188895
2391,114,1659832636.93089
2390,120,1659832636.9408908
2386,123,1659832636.9568899
2385,135,1659832636.9668915
2389,148,1659832636.9778893
2408,182,1659832636.996889
2438,199,1659832637.0078893
2466,165,1659832637.0188901
2497,180,1659832637.0298898
2559,215,1659832637.0578897
2639,222,1659832637.0678904
2705,233,1659832637.0808904
2762,240,1659832637.09189
2805,246,1659832637.10389
2836,256,1659832637.1148887
2857,268,1659832637.1258895
2868,278,1659832637.136889
2874,288,1659832637.1468916
2875,295,1659832637.15889
2873,304,1659832637.1698904
2870,313,1659832637.1808898
2866,318,1659832637.1918888
2860,325,1659832637.2038898
2855,333,1659832637.2148917
2848,338,1659832637.2258894
2841,346,1659832637.2378888
2832,353,1659832637.2488897
2824,360,1659832637.2598903
2817,369,1659832637.2708914
2809,375,1659832637.2828894
2801,382,1659832637.2948885
2792,388,1659832637.3068905
2783,393,1659832637.3218884
2773,399,1659832637.32689
2762,404,1659832637.3378901
2751,407,1659832637.3498898
2739,414,1659832637.3598917
2727,419,1659832637.3718896
2715,423,1659832637.3848894
2702,428,1659832637.393889
2690,432,1659832637.4048905
2677,439,1659832637.4178905
2664,443,1659832637.4308915
2651,448,1659832637.44289
2638,453,1659832637.4538894
2625,457,1659832637.4648893
2612,462,1659832637.4758904
2599,467,1659832637.486891
2587,472,1659832637.497889
2575,477,1659832637.5088913
2564,483,1659832637.5198898
2552,486,1659832637.5298898
2541,492,1659832637.541889
2531,498,1659832637.5528889
2521,502,1659832637.5638895
2511,507,1659832637.5748887
2501,511,1659832637.5868907
2491,516,1659832637.5998907
2481,521,1659832637.6098902
2470,525,1659832637.6208901
2459,530,1659832637.6328895
2448,533,1659832637.6448922
2436,537,1659832637.6558888
2424,541,1659832637.6668882
2412,544,1659832637.6788888
2401,549,1659832637.6898892
2394,566,1659832637.7018905
2390,578,1659832637.7138894
2388,592,1659832637.7248893
2389,608,1659832637.7368886
2391,624,1659832637.7478888
2395,641,1659832637.7588909
2402,662,1659832637.768889
2412,688,1659832637.7838912
2423,711,1659832637.79689
2433,728,1659832637.8058903
2443,752,1659832637.815889
2449,766,1659832637.82689
2455,786,1659832637.8378901
2459,804,1659832637.849889
2464,828,1659832637.8608894
2469,850,1659832637.8758898
2475,877,1659832637.8868892
2480,900,1659832637.8958902
2486,926,1659832637.9058905
